product_name,product_link,product_price(₹),product_ratings(out of 5),product_description,sub-category,Category,product_ids,comment_ids
Fascinating Poolside Dinner at Aloft,https://www.bookthesurprise.com/surprise/fascinating-poolside-dinner-at-aloft/,5249.0,5.0,no description,candle-light-dinner-in-bangalore,Premium-Surprises,22116,comment-17361
Outdoor Dinner At Grand Mercure,https://www.bookthesurprise.com/surprise/outdoor-dinner-at-grand-mercure/,5999.0,5.0,no description,candle-light-dinner-in-bangalore,Premium-Surprises,22149,comment-17355
Shallow Pool Dining at Koramangala,https://www.bookthesurprise.com/surprise/shallow-pool-dining-koramangala/,5999.0,5.0,no description,candle-light-dinner-in-bangalore,Premium-Surprises,22176,comment-17357
Fine Dining by Moondrenched Poolside,https://www.bookthesurprise.com/surprise/fine-dining-by-moondrenched-poolside/,13799.0,5.0,no description,candle-light-dinner-in-bangalore,Premium-Surprises,22151,comment-17369
Luxurious Cabana Dining at Taj,https://www.bookthesurprise.com/surprise/luxurious-cabana-dining-at-taj/,24999.0,5.0,no description,candle-light-dinner-in-bangalore,Premium-Surprises,22170,comment-17380
Surprise Date,https://www.bookthesurprise.com/surprise/surprise-date/,3999.0,5.0,"With a unique blend of tranquility and luxury, Celebrity Resort is known for its hospitality. This ensures that you have a lovely time at this place.",candle-light-dinner-in-hyderabad,Premium-Surprises,16199,comment-10757
Exotic Rooftop Candle Light Dinner,https://www.bookthesurprise.com/surprise/exotic-rooftop-candle-light-dinner/,8499.0,5.0,Exotic Rooftop Candle Light Dinner,candle-light-dinner-in-hyderabad,Premium-Surprises,18447,comment-13127
Extravagant Poolside Candle Light Dinner,https://www.bookthesurprise.com/surprise/extravagant-poolside-candle-light-dinner/,8499.0,5.0,Extravagant Poolside Candle Light Dinner,candle-light-dinner-in-hyderabad,Premium-Surprises,18456,comment-13125
Enchanting Candle Light Dinner,https://www.bookthesurprise.com/surprise/enchanting-candle-light-dinner/,9799.0,5.0, Enchanting Candle Light Dinner,candle-light-dinner-in-hyderabad,Premium-Surprises,18465,comment-13123
Box Full Of Kisses,https://www.bookthesurprise.com/surprise/box-full-of-kisses/,299.0,5.0,1 photo of the recipient,chocolatey-tweets,Surprise-Gifts,17412,comment-10372
I Love You Chocolate,https://www.bookthesurprise.com/surprise/i-love-you-chocolate/,299.0,5.0,1 photo of the recipient,chocolatey-tweets,Surprise-Gifts,17425,comment-10385
Heart-Shaped Chocolate Box,https://www.bookthesurprise.com/surprise/heart-shaped-chocolate-box/,399.0,5.0,"White Chocolate box which is a unique, decadent, wholesome spread with heart shaped chocolates",chocolatey-tweets,Surprise-Gifts,17420,comment-10386
Homemade Chocolate Box,https://www.bookthesurprise.com/surprise/homemade-chocolate-box/,399.0,5.0,Surprise her in the sweetest way through this set this Raksha Bandhan. ,chocolatey-tweets,Surprise-Gifts,18412,comment-12613
Assorted Chocolate Gift Box,https://www.bookthesurprise.com/surprise/assorted-chocolate-gift-box/,399.0,5.0,no description,chocolatey-tweets,Surprise-Gifts,18416,comment-13323
Chocolate Rosette,https://www.bookthesurprise.com/surprise/chocolate-rosette/,499.0,5.0,no description,chocolatey-tweets,Surprise-Gifts,17417,comment-10379
Tic Tac Toe Chocolate,https://www.bookthesurprise.com/surprise/tic-tac-toe-chocolate/,499.0,5.0,no description,chocolatey-tweets,Surprise-Gifts,18602,comment-17862
World’s Best Sister – Chocolate Box,https://www.bookthesurprise.com/surprise/world-s-best-sister-chocolate-box/,899.0,5.0,no description,chocolatey-tweets,Surprise-Gifts,18755,comment-17771
