ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2019-01-11,10329,"Unfortunately, the gift was defective or mechanically broken at delivery from Hungary, so it was sent back.That's no problem, the shipping costs of 17.99€ will be refunded.Optically, the gift is very appealing for babies. My son immediately reacted to it.The gift is fluffy, but also clumpy, so it might be suitable for cuddles later.... I would probably fill it with cotton wool and then sew it :)",Roshan,4,Hey Hot-Tea,17268
2019-04-22,11133,"The roses are gorgeous. perfect design. Thank you. They were delivered right on time.
",bhavana,5,BTS Charming Red Roses,15873
2019-06-17,13062,"completely outstanding surprise for an anniversary.thanks!!
",raghava,5,Make Your Home – A Theater,17977
2018-12-13,10057,"Thanks for delivering nice bouquet for our special occasion. Good service.
",Aparna,5,BTS A True Hug,15843
2019-03-18,10689,"thank you book the surprise team for an awesome surprise. I surprised my parents on their anniversary celebration
",nikitha,5,Avion Joy Ride Surprise,16092
2019-05-04,11702,"the photograph design and magnets are super.
",swetha,5,All Veg – You Are Always Mine,17358
2019-01-19,10378,"Great customer support. Easy to order and I got it very quickly, Thanks for the whole team.
",Cherry,5,Chocolate Pop – Gift Inside Chocolate,17433
2019-05-20,12050,"A great gift for babies, our 7 month old daughter is happy when he is at her side. Even our 6 year old sleeps with it a",Kalyani,1,My Majes-tea Mug,17263
2019-05-31,12446,"super cushion with personalised photo 
",devender ,5,Monogram Cushion,17281
2019-11-27,17859,"The chocolate was tasty. The concept was really good. Overall I loved it a lot
",Priyanka,5,Chocolate Rosette,22880
2019-05-18,12014,"Lot of meaning in the red heart symbol.It is looking very beautiful and lovely. I surprised my loved once with this pillow
",janes,5,Cuddle Pillow,17352
2018-12-06,9876,"Awesome services. Best experience.
",kalyan,5,BTS Butterscotch Tickle,6032
2019-04-08,10931,"very nice experience. it is a good surprise to me from my husband. good service BTS team
",madhav,5,Canaan Joy Ride Surprise,18274
2018-12-26,10202,"I would very highly recommend Bookthesurprise, and will certainly be using them again.
",Vimala,5,BTS Perform My Love,15822
2018-12-21,10194,"Beautiful cake with awesome taste. A nice combination of vanilla with chocolate flavour we all loved it. Thank you.
",Mohin,5,BTS Vanilla Chocolate Cake,6752
2019-04-24,11210," I can’t wait to come up with another event to get our next cake from bts.
",gouwry,5,Gem Topped Vanilla Cake,15827
2019-02-28,10575,I bought a brake actuator for my machine ... I paid the view ... I stayed almost 20 days waiting I paid the freight ... and when I get the product a disappointment ... they sent a wrong product ... they sent a plate ,Nitheesh,1,Hug Me – Anniversary Surprise,17629
2019-11-26,17462,"The flowers were very pretty and pleasant.
",Priyanka,5,BTS Amezing Carnation Carnival,15817
2018-12-21,10191,"Nice designer cake with awesome services. I’ll order for more delivery in a coming month. Thank you.
",Rajitha,5,BTS Heart Shaped Black Forest Cake,6362
2019-04-30,11496,"such a good game. i have never experience 
",tarun,5,A Surprise Shooting Game,34109
2018-12-13,10069,"The flowers were gorgeous and it was so easy to purchase! They delivered It right to my friend’s door and she was so happy! Thank you
",Roja,5,BTS A BIG Affection N Love,15812
2019-05-18,12016,"Now a days it is very important.I am very happy on this surprise gift,Every one must do this.Thank you team for this gift idea.keep it up
",Sushma sri,5,Dedicate A Tree –  Go Green in Love!,18316
2018-12-11,9989,"It looked and tasted perfect, our guests loved the cake. We’ll be visiting you soon for another order. Thank you
",Thanusri,5,BTS Fruit Of Forest,18128
